startTime,open,high,low,close,endTime,volume
1726620300000,5281868,5297619,5281859,5292486,1726621199999,63.618
1726621200000,5293514,5301961,5275961,5279459,1726622099999,70.164
1726622100000,5279389,5295158,5271346,5292020,1726622999999,34.978
1726623000000,5293681,5297883,5280496,5294727,1726623899999,35.760
1726623900000,5294727,5295808,5275398,5281876,1726624799999,38.233
1726624800000,5282905,5292565,5278325,5291071,1726625699999,33.982
1726625700000,5291044,5294666,5283669,5286992,1726626599999,20.020
1726626600000,5287730,5296635,5284821,5294552,1726627499999,22.440
1726627500000,5293831,5304511,5288170,5302797,1726628399999,55.172
1726628400000,5303895,5330054,5302085,5324772,1726629299999,131.569
1726629300000,5324042,5326925,5314232,5326925,1726630199999,32.495
1726630200000,5326196,5337649,5318557,5337218,1726631099999,67.462
1726631100000,5338282,5340383,5316518,5316887,1726631999999,63.218
1726632000000,5316790,5326046,5313582,5324262,1726632899999,56.122
1726632900000,5324262,5333518,5320913,5327602,1726633799999,26.737
1726633800000,5328639,5329167,5311147,5313977,1726634699999,50.051
1726634700000,5313977,5317212,5299043,5310417,1726635599999,54.212
1726635600000,5309670,5309670,5295914,5305706,1726636499999,23.806
1726636500000,5304774,5305495,5296573,5303069,1726637399999,22.944
1726637400000,5303728,5304493,5290992,5290992,1726638299999,35.332
1726638300000,5292820,5296635,5289023,5292961,1726639199999,24.674
1726639200000,5292451,5302542,5289111,5300010,1726640099999,28.321
1726640100000,5300529,5304950,5298410,5298771,1726640999999,23.456
1726641000000,5299500,5305126,5296336,5301768,1726641899999,16.683
1726641900000,5301768,5315340,5300977,5311657,1726642799999,34.712
1726642800000,5311657,5320737,5311332,5313195,1726643699999,33.148
1726643700000,5314751,5315340,5301003,5308308,1726644599999,23.604
1726644600000,5308308,5315340,5306550,5309503,1726645499999,22.456
1726645500000,5309503,5315911,5307429,5309890,1726646399999,20.610
1726646400000,5309890,5310303,5283968,5289418,1726647299999,61.382
1726647300000,5289418,5297479,5284355,5286447,1726648199999,45.876
1726648200000,5286632,5292292,5284188,5286298,1726649099999,30.085
1726649100000,5286298,5291607,5279494,5289620,1726649999999,36.303
1726650000000,5289005,5289743,5273069,5273069,1726650899999,94.809
1726650900000,5273816,5280883,5264516,5268392,1726651799999,100.734
1726651800000,5268911,5270827,5258662,5264164,1726652699999,77.034
1726652700000,5264164,5268102,5241741,5242524,1726653599999,133.052
1726653600000,5241794,5255480,5231228,5231729,1726654499999,205.270
1726654500000,5231536,5245354,5217384,5244123,1726655399999,216.747
1726655400000,5243394,5264868,5240933,5257976,1726656299999,93.092
1726656300000,5257809,5266511,5253669,5263962,1726657199999,46.927
1726657200000,5263918,5265404,5256763,5260121,1726658099999,22.416
1726658100000,5260605,5271636,5259646,5271548,1726658999999,25.063
1726659000000,5270819,5273306,5260763,5263532,1726659899999,39.344
1726659900000,5263532,5269140,5256711,5259207,1726660799999,38.854
1726660800000,5259778,5264859,5248905,5248905,1726661699999,49.915
1726661700000,5248905,5266705,5244334,5259383,1726662599999,64.853
1726662600000,5258653,5271302,5258653,5263285,1726663499999,50.582
1726663500000,5263830,5273042,5259057,5270203,1726664399999,44.434
1726664400000,5270933,5286790,5255964,5263234,1726665299999,106.210
1726665300000,5263515,5279131,5258284,5266734,1726666199999,86.810
1726666200000,5266866,5269222,5237445,5242007,1726667099999,193.164
1726667100000,5242737,5243230,5212662,5230988,1726667999999,304.383
1726668000000,5230988,5240301,5215309,5227497,1726668899999,157.202
1726668900000,5227497,5248796,5215696,5242253,1726669799999,161.657
1726669800000,5242491,5254758,5224023,5247020,1726670699999,96.112
1726670700000,5247020,5253967,5221693,5229273,1726671599999,84.763
1726671600000,5229581,5252753,5229309,5242095,1726672499999,77.965
1726672500000,5243106,5243168,5226934,5238753,1726673399999,61.485
1726673400000,5239976,5239976,5216760,5219222,1726674299999,107.567
1726674300000,5219952,5232861,5214482,5224340,1726675199999,81.428
1726675200000,5223610,5239307,5201291,5228992,1726676099999,167.618
1726676100000,5229722,5252015,5229256,5247389,1726676999999,70.911
1726677000000,5246659,5267527,5244461,5257212,1726677899999,76.964
1726677900000,5256860,5270720,5250537,5266076,1726678799999,60.370
1726678800000,5267184,5269093,5231023,5234594,1726679699999,117.196
1726679700000,5233864,5256456,5233495,5255101,1726680599999,93.692
1726680600000,5255831,5277289,5253615,5271370,1726681499999,156.601
1726681500000,5272100,5296442,5265936,5275002,1726682399999,152.774
1726682400000,5275002,5363118,5256174,5289222,1726683299999,1444.435
1726683300000,5288879,5330132,5288686,5319122,1726684199999,381.475
1726684200000,5319122,5393783,5299793,5308745,1726685099999,868.052
1726685100000,5307874,5358835,5304524,5328092,1726685999999,390.436
1726686000000,5328610,5341107,5295114,5335329,1726686899999,434.509
1726686900000,5335505,5335505,5270983,5313854,1726687799999,477.092
1726687800000,5314048,5321575,5290198,5301384,1726688699999,349.603
1726688700000,5302035,5307540,5277201,5279012,1726689599999,288.347
1726689600000,5279364,5281316,5227691,5244399,1726690499999,370.464
1726690500000,5244399,5271836,5240644,5271836,1726691399999,114.036
1726691400000,5272364,5293962,5267888,5290137,1726692299999,118.538
1726692300000,5290867,5302176,5284535,5293399,1726693199999,78.747
1726693200000,5293399,5307399,5293399,5306441,1726694099999,127.178
1726694100000,5307531,5309123,5289398,5305614,1726694999999,119.220
1726695000000,5306344,5317662,5302431,5302686,1726695899999,72.352
1726695900000,5303416,5304726,5291614,5291614,1726696799999,26.848
1726696800000,5291429,5305641,5290990,5300399,1726697699999,30.321
1726697700000,5300399,5328180,5300347,5326623,1726698599999,71.789
1726698600000,5326781,5335857,5316536,5319148,1726699499999,77.092
1726699500000,5319148,5336384,5319148,5335153,1726700399999,30.610
1726700400000,5335681,5363294,5334318,5353146,1726701299999,99.111
1726701300000,5353146,5385103,5352741,5380038,1726702199999,120.651
1726702200000,5379809,5395032,5372325,5387302,1726703099999,382.868
1726703100000,5388032,5432767,5375606,5429530,1726703999999,255.857
1726704000000,5432230,5461435,5425362,5455534,1726704899999,444.498
1726704900000,5455631,5485539,5441200,5471803,1726705799999,338.382
1726705800000,5473052,5488468,5460371,5480052,1726706699999,171.576
1726706700000,5480870,5503866,5466518,5472164,1726707599999,284.934
1726707600000,5472551,5481213,5437375,5445703,1726708499999,219.974
1726708500000,5446450,5454813,5428387,5430463,1726709399999,135.489
1726709400000,5430313,5447734,5412690,5440312,1726710299999,170.980
1726710300000,5439960,5453907,5437093,5452685,1726711199999,107.336
1726711200000,5452087,5458331,5434332,5450689,1726712099999,107.161
1726712100000,5450689,5459870,5446714,5459333,1726712999999,88.158
1726713000000,5459870,5479164,5455640,5475136,1726713899999,127.857
1726713900000,5475136,5478152,5465814,5469271,1726714799999,107.192
1726714800000,5468804,5476086,5457645,5457645,1726715699999,59.230
1726715700000,5457645,5466685,5450671,5464645,1726716599999,45.168
1726716600000,5465375,5466949,5452069,5459289,1726717499999,42.582
1726717500000,5458788,5462904,5454206,5461488,1726718399999,26.786
1726718400000,5461488,5465665,5451058,5454206,1726719299999,62.603
1726719300000,5453688,5463704,5441701,5444296,1726720199999,52.448
1726720200000,5443566,5449123,5441402,5447286,1726721099999,39.489
1726721100000,5447013,5460635,5446160,5458858,1726721999999,39.214
1726722000000,5458858,5467793,5456651,5457777,1726722899999,41.602
1726722900000,5457777,5463528,5448578,5450355,1726723799999,25.007
1726723800000,5449625,5453520,5444454,5449273,1726724699999,18.372
1726724700000,5448842,5452245,5442062,5450513,1726725599999,35.275
1726725600000,5451410,5451410,5434534,5437981,1726726499999,47.489
1726726500000,5437735,5457319,5437700,5454409,1726727399999,52.840
1726727400000,5453679,5463317,5453503,5461655,1726728299999,23.949
1726728300000,5461655,5461892,5447532,5452623,1726729199999,41.232
1726729200000,5452386,5465938,5445008,5449097,1726730099999,66.213
1726730100000,5449484,5461892,5447373,5457900,1726730999999,43.258
1726731000000,5458366,5464188,5448024,5460477,1726731899999,41.752
1726731900000,5459149,5465896,5456031,5459249,1726732799999,27.256
1726732800000,5459249,5466136,5451841,5460659,1726733699999,38.193
